Year,OilProductionInTWh,BarrelsDayEquiv
1905,0.41868,246282.3512
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,210.30528,123708987.4
1905,210.30528,123708987.4
1905,0,0
1905,222.64471,130967475.6
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0.5815,342058.8211
1905,0,0
1905,9.23422,5431894.08
1905,0,0
1905,7.93166,4665682.32
1905,0,0
1905,0.5815,342058.8211
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,0,0
1905,86.73654,51021493.76
1905,0,0
1905,0,0
1905,208.89806,122881210.9
1905,95.66838,56275517.25
1905,0,0
1905,336.89783,198175192.7
1905,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,22.038849,12964028.73
1906,22.02722,12957188.14
1906,0,0
1906,0.01163,6841.176423
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0.88388,519929.4081
1906,0.82573,485723.526
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,20.934,12314117.56
1906,0,0
1906,0,0
1906,93.87736,55221976.08
1906,114.811356,67536091.29
1906,20.934,12314117.56
1906,20.934,12314117.56
1906,0,0
1906,0,0
1906,0.94203,554135.2902
1906,0,0
1906,0,0
1906,0,0
1906,209.32837,123134334.4
1906,0.03489,20523.52927
1906,6.23368,3666870.563
1906,13.1419,7730529.358
1906,0.01163,6841.176423
1906,0,0
1906,0,0
1906,0.08141,47888.23496
1906,2.65164,1559788.224
1906,0,0
1906,0,0
1906,0,0
1906,19.387209,11404240.51
1906,0,0
1906,0.83736,492564.7024
1906,0.01163,6841.176423
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,197.87282,116395775.7
1906,197.87282,116395775.7
1906,0,0
1906,210.16573,123626899.1
1906,0.01163,6841.176423
1906,0,0
1906,0,0
1906,0,0
1906,0.01163,6841.176423
1906,0.82573,485723.526
1906,0,0
1906,8.57131,5041947.024
1906,0,0
1906,11.29273,6642782.306
1906,0,0
1906,0.82573,485723.526
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,93.87736,55221976.08
1906,0,0
1906,0,0
1906,196.15158,115383281.5
1906,106.833176,62843044.27
1906,0,0
1906,335.54877,197381628
1906,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,25.87675,15221617.54
1907,25.87675,15221617.54
1907,0,0
1907,0.01163,6841.176423
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,1.22115,718323.5244
1907,1.163,684117.6423
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,27.80733,16357252.83
1907,0,0
1907,0,0
1907,99.48302,58519423.12
1907,127.290344,74876672.42
1907,27.80733,16357252.83
1907,27.807331,16357253.41
1907,0,0
1907,0,0
1907,1.23278,725164.7008
1907,0,0
1907,0,0
1907,0,0
1907,276.35205,162560028.3
1907,0.02326,13682.35285
1907,6.73377,3961041.149
1907,16.02614,9427141.11
1907,0,0
1907,0,0
1907,0,0
1907,0.09304,54729.41138
1907,3.11684,1833435.281
1907,0,0
1907,0,0
1907,0,0
1907,22.75991,13388182.26
1907,0,0
1907,1.79102,1053541.169
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,260.57016,153276563.6
1907,260.57016,153276563.6
1907,0,0
1907,278.14307,163613569.4
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,1.163,684117.6423
1907,0,0
1907,13.09538,7703164.652
1907,0,0
1907,13.35124,7853670.533
1907,0,0
1907,1.163,684117.6423
1907,0,0
1907,0,0
1907,0,0
1907,0,0
